battery_id,manufacturer,chemistry,capacity_kWh,charge_cycles,avg_temp_celsius,discharge_rate_c,charge_rate_c,avg_soc_percent,storage_time_months,fast_charge_ratio,calendar_age_years,capacity_retained_percent
BAT012185,Tesla,NMC,87.5,363.0,20.31,0.5,1.477,51.33,1.8,0.504,4.03,85.35
BAT002755,Samsung SDI,NMC,70.23,331.0,29.66,0.791,1.384,35.12,3.8,0.082,1.67,94.61
BAT009743,BYD,NMC,68.87,437.0,26.84,2.317,0.763,38.91,2.0,0.706,2.27,84.72
BAT011505,CATL,LFP,73.69,,24.95,0.828,1.164,,3.4,0.22,3.29,84.51
BAT012598,LG Chem,LFP,72.77,1479.0,15.14,0.741,0.958,45.81,2.3,0.434,0.34,83.05
BAT013381,Tesla,NCA,80.88,868.0,26.54,1.558,0.898,55.04,1.0,0.39,0.41,82.48
BAT000972,Samsung SDI,NMC,58.32,643.0,33.51,1.09,1.01,69.29,0.1,0.076,0.39,89.62
BAT003077,Samsung SDI,LFP,68.04,576.0,28.55,0.522,1.268,48.66,1.9,0.246,0.4,
BAT006701,CATL,NMC,55.47,336.0,40.88,1.502,1.117,53.62,0.4,0.006,2.99,85.85
BAT012274,CATL,NMC,84.1,910.0,42.3,1.093,1.566,46.04,2.1,0.496,2.24,79.31
BAT012836,CATL,LFP,64.12,784.0,21.18,1.32,1.058,53.35,1.4,0.041,0.17,92.51
BAT012548,CATL,LFP,64.6,557.0,21.26,1.205,0.966,64.38,1.2,0.292,0.19,95.43
BAT008629,Panasonic,NMC,77.49,120.0,23.2,0.547,1.341,38.55,0.7,0.38,1.29,
BAT005169,Panasonic,NMC,98.86,543.0,,0.5,1.246,90.0,4.1,0.262,0.12,87.53
BAT006795,LG Chem,NCA,94.75,986.0,26.72,1.362,0.506,57.26,21.7,0.278,5.24,74.73
BAT001202,Tesla,LFP,74.66,447.0,29.63,0.51,1.684,50.59,1.2,0.46,0.23,92.99
BAT002728,Panasonic,NMC,,446.0,42.97,0.562,0.947,49.51,1.1,0.329,0.72,89.08
BAT006105,Tesla,NMC,48.01,508.0,31.05,0.5,1.497,56.25,2.6,0.186,1.2,88.37
BAT008272,Tesla,NMC,68.93,256.0,26.59,1.47,0.86,44.49,6.2,0.236,1.67,94.66
BAT010255,Samsung SDI,NMC,57.39,1248.0,22.91,2.449,1.09,53.68,0.5,0.37,1.88,78.61
BAT000037,Panasonic,NMC,87.04,583.0,32.61,0.676,0.666,56.83,1.0,0.178,1.17,90.31
BAT006033,BYD,NMC,97.28,616.0,12.78,1.139,0.5,72.37,3.2,0.058,0.81,91.74
BAT004752,LG Chem,NMC,65.84,736.0,,0.882,0.757,75.03,0.4,0.512,1.02,84.08
BAT006743,CATL,NMC,114.93,1687.0,19.71,1.778,0.839,43.98,,0.148,0.53,83.21
BAT006619,LG Chem,NMC,107.27,763.0,36.92,1.018,0.5,73.76,2.2,0.281,1.38,84.15
BAT006936,LG Chem,NMC,90.16,754.0,37.63,1.533,1.348,52.43,2.1,0.566,3.86,80.35
BAT005787,,NMC,77.47,925.0,20.48,0.5,1.646,53.54,5.4,0.175,1.87,85.75
BAT011306,Tesla,NMC,62.75,511.0,25.48,0.987,1.578,44.65,1.1,0.094,4.9,87.18
BAT007896,,,75.25,1576.0,19.82,0.598,0.964,37.72,0.4,0.415,0.2,82.63
BAT004601,,NMC,91.09,563.0,26.76,1.733,1.387,64.33,1.0,0.348,0.24,91.2
BAT013512,Samsung SDI,NMC,79.03,289.0,25.2,0.5,1.67,44.13,1.8,0.355,0.61,89.55
BAT003818,BYD,NMC,96.99,1285.0,42.16,1.372,0.68,40.58,0.0,0.248,0.66,80.12
BAT003091,LG Chem,NCA,,765.0,22.77,,1.111,77.24,,0.426,0.27,89.37
BAT012234,Panasonic,NMC,77.36,655.0,19.6,1.06,1.121,69.78,4.6,0.421,2.69,
BAT001289,Tesla,NMC,100.56,201.0,7.66,1.001,1.511,64.46,0.1,0.185,,94.59
BAT003032,LG Chem,LFP,101.22,,23.12,0.518,1.401,72.78,9.8,0.373,0.26,98.66
BAT009368,BYD,LFP,84.78,971.0,33.94,0.732,,,1.3,0.092,0.12,91.71
BAT002978,Tesla,NMC,65.14,669.0,-4.43,0.547,1.473,50.76,0.4,0.398,0.69,89.21
BAT002401,Panasonic,LFP,56.67,270.0,-8.54,0.5,1.263,83.79,,0.362,0.9,92.53
BAT009464,LG Chem,NMC,77.55,89.0,22.47,0.874,1.512,57.64,1.3,0.288,1.21,93.16
BAT014510,CATL,LFP,74.69,1018.0,22.32,1.138,0.876,,2.0,0.019,1.46,91.09
BAT005665,CATL,NCA,48.8,896.0,,0.676,1.186,57.79,2.0,0.043,1.2,86.74
BAT004253,Panasonic,NMC,87.32,608.0,20.93,1.828,0.684,50.1,10.7,0.063,3.66,85.8
BAT001747,Tesla,LFP,72.63,935.0,35.72,1.653,0.96,42.32,8.6,0.276,2.56,82.68
BAT007509,CATL,NMC,109.14,609.0,28.66,1.501,0.776,23.89,4.9,0.462,,87.01
BAT007511,BYD,NMC,68.89,454.0,13.0,1.149,1.336,30.46,1.5,0.033,0.21,94.89
BAT009924,CATL,NCA,66.56,441.0,-0.58,1.357,0.727,61.17,0.1,0.393,1.49,85.16
BAT011883,Tesla,LFP,112.5,603.0,28.0,0.5,0.5,60.81,,0.353,1.03,88.85
BAT011928,Tesla,NMC,88.46,478.0,27.37,,0.524,,3.3,0.083,0.24,93.68
BAT006596,Panasonic,NCA,77.36,423.0,24.97,0.654,1.422,59.75,9.6,0.268,1.87,92.47
BAT009792,LG Chem,NMC,72.45,663.0,26.25,2.536,0.58,66.52,11.3,0.24,3.06,84.97
BAT009892,Tesla,LFP,81.63,1187.0,22.81,1.482,0.889,83.59,2.8,0.328,1.19,87.18
BAT011910,Tesla,NCA,68.37,1048.0,5.04,0.697,1.081,,1.9,0.057,2.18,79.15
BAT006434,LG Chem,NMC,61.96,554.0,32.9,1.369,0.5,50.89,2.3,0.39,2.74,
BAT002508,LG Chem,LFP,53.65,120.0,27.17,0.5,0.5,51.17,2.7,0.372,3.82,91.46
BAT014119,Samsung SDI,NMC,51.13,499.0,,1.477,1.127,29.59,4.9,0.381,0.73,89.94
BAT014433,Tesla,NMC,65.57,268.0,24.4,1.846,0.786,57.2,0.2,0.161,1.77,90.15
BAT010828,Samsung SDI,LFP,99.29,485.0,36.47,0.5,0.925,52.35,5.1,0.169,0.8,91.56
BAT000211,CATL,NCA,71.1,841.0,33.8,0.5,1.656,,3.0,0.13,1.66,
BAT013163,CATL,NMC,57.78,,20.3,0.5,0.737,50.81,2.4,,2.7,
BAT001951,Tesla,NCA,63.86,415.0,27.36,,1.698,46.12,2.5,0.111,4.82,84.52
BAT014631,BYD,NCA,68.94,542.0,,1.132,0.5,56.4,1.5,0.1,5.0,88.31
BAT000652,CATL,NMC,88.94,1425.0,29.3,1.646,0.769,57.24,0.2,0.117,6.35,77.85
BAT002207,Panasonic,NMC,87.2,319.0,26.73,0.5,1.571,47.31,13.7,0.216,0.16,92.71
BAT008597,LG Chem,NMC,91.21,537.0,17.82,1.938,1.024,58.26,4.8,0.408,1.19,90.37
BAT002616,Tesla,NMC,69.19,362.0,21.6,0.5,,52.3,1.7,0.016,,96.11
BAT001397,LG Chem,NMC,66.75,466.0,9.22,0.5,0.531,80.71,0.9,0.134,3.12,91.31
BAT012586,Panasonic,LFP,102.72,568.0,25.8,0.5,1.133,,0.4,0.187,4.9,92.16
BAT005426,CATL,NMC,47.59,265.0,12.25,1.073,1.148,59.04,3.9,0.559,0.27,90.2
BAT014919,BYD,LFP,71.36,462.0,29.05,1.675,1.366,70.87,3.9,0.076,0.59,91.91
BAT001671,LG Chem,LFP,73.77,713.0,26.55,1.179,0.815,65.12,1.9,0.137,0.89,89.4
BAT002321,Samsung SDI,NMC,82.78,734.0,34.28,1.009,0.5,49.67,1.0,0.17,3.91,
BAT013663,CATL,LFP,64.09,498.0,18.62,1.347,1.204,53.65,14.5,0.648,0.1,91.57
BAT006963,Samsung SDI,NMC,108.28,866.0,43.67,0.5,0.932,46.48,1.6,0.013,0.11,88.11
BAT001953,CATL,LFP,69.37,1511.0,36.99,0.5,1.121,45.92,1.0,0.342,2.07,80.97
BAT007633,Panasonic,NCA,,940.0,33.88,1.186,0.707,44.97,0.3,0.308,2.35,78.74
BAT004644,Tesla,NMC,,1850.0,26.47,1.353,1.678,76.29,0.6,0.122,3.47,
BAT002938,CATL,NMC,74.9,656.0,19.12,1.206,1.266,74.62,1.5,0.407,4.12,90.35
BAT010859,BYD,NCA,61.43,1382.0,18.07,1.694,0.979,43.13,1.9,0.345,2.53,75.96
BAT010646,Tesla,NCA,67.09,760.0,32.84,1.934,1.614,,2.1,0.037,4.08,81.34
BAT003910,Panasonic,NMC,66.74,749.0,18.99,1.145,0.503,37.59,6.0,0.192,1.15,88.24
BAT011488,,NMC,66.28,424.0,39.0,1.079,1.244,59.94,,0.105,0.65,92.62
BAT013592,LG Chem,LFP,78.32,823.0,27.75,1.171,0.663,52.61,5.0,0.217,2.16,86.44
BAT000485,CATL,LFP,84.48,188.0,16.29,1.096,0.954,45.81,14.1,0.081,0.99,94.56
BAT011130,BYD,LFP,96.03,461.0,26.04,0.5,1.248,50.31,2.4,0.4,1.09,93.21
BAT000899,Tesla,,103.89,1611.0,35.33,,0.5,43.38,2.1,0.193,0.75,75.96
BAT001733,LG Chem,NMC,87.21,776.0,23.14,1.817,0.594,65.83,2.9,0.071,1.57,89.44
BAT011993,Samsung SDI,NCA,84.26,218.0,28.84,1.361,1.07,36.27,3.1,0.347,3.98,88.46
BAT002614,,NMC,85.86,680.0,32.63,1.144,,45.03,0.3,0.158,1.16,91.6
BAT007925,Samsung SDI,NMC,71.63,700.0,22.08,0.5,0.781,63.25,1.7,0.146,4.57,85.34
BAT007989,BYD,NMC,74.46,485.0,27.68,0.857,1.16,76.75,6.5,0.164,1.93,89.71
BAT013355,Tesla,LFP,59.6,698.0,28.99,1.378,1.283,42.81,0.3,0.367,1.11,89.85
BAT010759,,NMC,,730.0,32.29,0.5,0.508,58.71,6.3,0.296,,85.75
BAT007763,LG Chem,NCA,67.97,1074.0,26.13,,0.787,55.3,0.9,,0.96,85.95
BAT002641,Panasonic,NMC,87.48,655.0,24.08,,1.432,54.64,6.7,0.132,12.0,78.87
BAT001251,BYD,NMC,86.73,961.0,17.42,0.924,0.984,54.99,0.1,0.19,0.99,90.62
BAT012928,LG Chem,NMC,73.51,772.0,,0.842,0.566,60.79,0.3,0.047,1.34,86.59
BAT009294,CATL,NMC,55.73,436.0,35.18,0.5,1.403,51.53,1.0,0.213,7.53,82.48
BAT002436,LG Chem,NMC,94.52,50.0,30.28,0.687,0.91,49.66,4.8,0.269,0.3,96.62
BAT012596,Tesla,NMC,93.64,742.0,,,,62.14,2.6,0.299,2.94,85.73
BAT010167,LG Chem,LFP,60.61,494.0,17.78,0.996,1.224,59.9,10.8,0.116,7.83,86.1
BAT014916,Tesla,NMC,77.67,343.0,21.56,0.634,1.181,39.62,21.7,0.187,0.13,96.5
BAT013358,Samsung SDI,NMC,89.32,859.0,,0.578,0.648,55.47,4.3,0.219,1.68,82.93
BAT009054,Panasonic,NMC,81.39,619.0,13.19,0.547,1.117,65.67,2.0,0.183,1.59,88.38
BAT007604,Samsung SDI,LFP,78.62,1195.0,30.36,1.179,0.524,84.19,6.1,0.271,0.1,83.82
BAT005712,Samsung SDI,NMC,79.37,559.0,,0.793,0.869,59.78,8.5,0.236,0.86,91.17
BAT002304,Panasonic,NMC,76.22,891.0,36.64,0.9,0.864,55.37,0.1,0.036,0.58,87.7
BAT005771,CATL,NMC,84.6,1397.0,33.57,0.5,0.869,48.81,1.3,0.092,1.44,84.62
BAT012476,Panasonic,LFP,68.88,459.0,22.06,1.948,0.987,43.5,7.7,0.218,1.29,93.74
BAT006593,LG Chem,LFP,76.84,95.0,26.63,0.5,0.5,77.31,,0.294,,91.65
BAT000583,LG Chem,NMC,51.81,355.0,41.41,1.026,0.775,49.01,8.1,0.251,0.1,90.86
BAT004689,CATL,LFP,65.52,877.0,24.11,0.619,1.193,49.24,3.6,0.013,0.51,92.45
BAT014393,Tesla,NMC,55.45,1068.0,7.42,0.5,0.771,75.12,2.9,0.328,2.37,80.81
BAT000719,,NMC,99.34,902.0,16.77,1.202,0.931,60.68,5.8,0.137,0.17,88.23
BAT014779,LG Chem,NMC,78.06,540.0,27.49,1.136,0.5,69.77,1.8,0.613,1.0,88.6
BAT010380,BYD,NMC,70.92,754.0,30.82,0.5,0.791,90.0,,0.019,2.81,86.65
BAT000763,Panasonic,LFP,57.42,542.0,17.06,1.132,0.953,67.78,6.6,0.539,5.04,88.13
BAT003470,Tesla,NMC,69.89,1375.0,40.19,0.5,0.828,45.61,7.5,0.347,1.67,73.79
BAT001871,BYD,LFP,89.0,1608.0,23.51,0.5,1.033,68.86,8.2,0.497,1.43,82.32
BAT012576,Panasonic,NMC,76.68,552.0,29.03,2.029,0.795,59.55,3.1,0.648,0.69,
BAT007290,BYD,NMC,65.16,316.0,19.14,1.234,0.5,70.56,4.1,0.066,0.53,97.26
BAT003734,LG Chem,NCA,,597.0,34.58,2.055,0.719,42.73,3.6,0.025,2.34,88.86
BAT009847,BYD,NCA,76.71,620.0,47.16,0.543,1.62,46.37,0.2,0.207,0.25,84.2
BAT000739,LG Chem,NMC,84.49,518.0,45.02,0.5,1.564,60.44,1.0,0.322,1.44,82.78
BAT011458,Panasonic,NMC,78.9,2014.0,23.04,0.501,1.454,69.86,4.5,0.248,0.43,77.63
BAT003890,LG Chem,NMC,78.51,709.0,25.17,0.57,1.217,59.65,4.2,0.394,0.91,87.08
BAT004636,Samsung SDI,LFP,98.31,250.0,22.88,2.247,0.609,,0.2,0.252,1.68,91.67
BAT007927,BYD,NMC,69.97,633.0,21.58,1.426,0.5,54.03,5.6,0.553,1.72,87.48
BAT008193,Panasonic,NMC,,809.0,11.55,0.5,1.52,55.87,1.2,0.415,0.34,86.54
BAT006396,Panasonic,NMC,66.06,427.0,23.14,1.639,1.062,49.91,3.2,0.148,0.22,97.35
BAT005071,CATL,NMC,88.04,673.0,16.99,,0.871,58.53,7.4,0.126,8.69,79.09
BAT014911,Panasonic,NMC,64.72,543.0,,0.864,,52.11,0.5,0.221,0.12,93.88
BAT013099,Panasonic,LFP,78.29,912.0,27.77,0.544,1.069,67.56,3.3,0.188,0.42,87.35
BAT003845,Tesla,LFP,92.34,410.0,23.88,1.09,1.383,65.02,8.8,0.023,0.9,98.05
BAT004843,Panasonic,LFP,90.77,776.0,34.17,0.5,1.118,28.1,4.9,0.336,2.15,86.7
BAT000751,Tesla,NMC,80.71,517.0,31.75,,1.415,85.8,6.2,0.15,3.97,86.1
BAT007188,Panasonic,NMC,65.6,880.0,29.48,0.5,0.766,60.51,4.0,0.095,1.16,83.72
BAT007932,BYD,NMC,46.95,1256.0,24.48,1.183,0.863,41.59,1.3,0.116,1.25,85.89
BAT014867,CATL,NMC,85.68,535.0,19.65,0.5,1.0,65.64,0.4,0.205,1.38,87.03
BAT012306,Panasonic,NCA,61.63,811.0,19.04,0.62,0.5,74.83,4.2,0.761,4.65,77.21
BAT001840,Panasonic,NCA,88.92,927.0,-8.47,0.952,1.53,70.04,0.4,0.231,2.11,81.38
BAT014799,LG Chem,LFP,68.92,606.0,,0.643,1.082,49.81,,,2.41,94.64
BAT003478,CATL,NMC,65.03,960.0,25.74,1.046,0.672,53.5,1.3,,12.0,67.63
BAT001276,Tesla,NMC,95.78,334.0,22.09,0.845,2.026,62.99,0.6,0.094,2.13,90.61
BAT003722,BYD,LFP,73.52,606.0,30.06,1.642,0.893,33.94,2.4,0.206,0.69,93.88
BAT010116,Tesla,LFP,58.99,616.0,,1.36,0.5,34.64,,0.035,1.0,95.36
BAT007600,Panasonic,LFP,73.89,261.0,40.76,1.355,0.75,70.38,4.3,0.035,,90.36
BAT009034,BYD,NMC,54.49,1244.0,23.57,1.857,1.001,18.59,0.3,0.367,2.15,86.19
BAT013344,CATL,NCA,69.46,654.0,17.11,0.887,0.763,46.47,2.7,0.31,0.2,88.54
BAT011519,CATL,NCA,63.67,148.0,25.04,0.5,,47.77,3.1,0.557,1.09,91.14
BAT005504,LG Chem,NMC,87.45,484.0,28.01,0.5,1.137,30.92,0.2,0.247,8.97,79.41
BAT006175,LG Chem,NCA,,743.0,40.3,0.675,1.162,51.02,4.3,0.004,8.96,73.38
BAT002265,CATL,NCA,73.61,209.0,15.15,1.322,0.684,49.12,4.0,0.076,5.88,88.01
BAT008420,Tesla,LFP,57.25,1047.0,25.94,0.751,1.038,,3.4,0.15,3.02,86.29
BAT001537,Tesla,LFP,46.03,332.0,21.54,0.5,1.263,69.14,2.3,0.117,1.27,91.3
BAT005392,CATL,NMC,85.45,430.0,24.38,0.765,1.385,39.67,0.2,0.194,3.4,91.17
BAT009158,CATL,NMC,63.67,577.0,16.35,2.27,2.255,29.46,2.6,0.385,1.0,88.53
BAT004926,Panasonic,LFP,80.94,234.0,26.88,0.843,1.018,60.73,5.4,0.456,2.31,94.03
BAT001370,,NMC,81.61,618.0,,0.966,0.529,80.63,4.4,0.183,0.6,89.45
BAT000741,,NMC,,642.0,17.07,1.591,0.818,54.96,3.6,0.321,1.84,90.1
BAT003814,CATL,NMC,41.76,450.0,36.34,0.5,1.283,36.1,3.8,0.065,0.47,92.2
BAT004239,CATL,NCA,,950.0,27.19,,0.99,,0.6,,0.1,86.98
BAT001189,Panasonic,LFP,50.22,827.0,30.47,1.081,,78.94,2.8,0.563,0.28,85.34
BAT013453,Samsung SDI,LFP,72.61,581.0,21.09,0.5,1.044,83.21,3.7,0.125,2.03,92.72
BAT006051,LG Chem,NMC,96.64,791.0,16.59,1.744,0.99,66.77,2.1,0.688,0.79,82.73
BAT001571,CATL,NMC,83.22,738.0,25.7,,0.988,75.86,0.4,0.195,0.81,91.82
BAT009423,CATL,LFP,76.45,781.0,21.12,0.502,1.153,53.37,0.4,0.269,1.68,89.73
BAT006076,Tesla,NMC,84.43,113.0,17.47,1.04,1.046,34.51,0.8,0.155,1.3,96.33
BAT002528,Samsung SDI,NCA,61.61,587.0,16.5,,1.145,58.86,0.7,0.456,1.3,87.32
BAT002128,Tesla,NMC,69.6,494.0,21.55,0.5,1.178,56.59,3.6,0.444,0.13,91.88
BAT010075,Samsung SDI,LFP,111.32,601.0,28.25,0.785,1.096,55.61,0.8,0.048,0.85,92.8
BAT002765,Tesla,NMC,74.58,343.0,20.05,0.845,0.72,52.9,0.3,0.012,0.54,97.89
BAT010410,Tesla,LFP,85.43,247.0,29.59,0.773,1.011,54.76,,0.173,2.76,93.72
BAT012332,Samsung SDI,NMC,94.43,488.0,25.56,1.908,1.463,40.49,3.0,0.044,0.9,95.2
BAT006376,Tesla,LFP,100.41,620.0,32.29,2.289,,65.84,4.6,0.588,1.12,89.87
BAT012173,Tesla,NMC,75.42,586.0,15.71,,0.5,63.74,7.6,0.243,2.63,88.65
BAT006021,LG Chem,NMC,78.38,445.0,29.9,1.32,0.82,33.44,5.2,0.156,2.0,93.59
BAT010036,Panasonic,LFP,67.67,611.0,11.64,0.5,0.691,61.25,0.7,0.302,2.69,90.13
BAT001982,BYD,NMC,78.65,342.0,23.11,0.5,0.845,29.78,11.6,0.547,3.87,84.02
BAT010257,CATL,LFP,62.11,1265.0,3.8,1.073,0.5,61.78,8.0,0.38,0.44,85.67
BAT007076,Tesla,NMC,66.21,727.0,26.92,0.669,1.272,77.97,2.1,0.502,1.27,90.42
BAT010616,LG Chem,NMC,73.49,353.0,23.08,1.429,0.697,49.29,,0.536,2.14,85.18
BAT007947,,LFP,55.37,394.0,,0.5,1.422,47.25,2.6,0.159,0.41,92.13
BAT004105,Panasonic,NMC,76.72,691.0,23.23,1.565,,63.01,5.6,0.507,,88.68
BAT002058,LG Chem,NCA,57.27,1026.0,33.47,0.724,1.183,57.38,3.3,0.144,2.05,81.44
BAT012967,LG Chem,LFP,94.33,808.0,27.63,0.751,0.575,44.97,10.8,0.487,2.34,83.39
BAT009223,CATL,NMC,72.47,1069.0,27.79,1.782,0.731,52.62,0.2,0.169,2.05,81.73
